Section,Variable,Datatype,Index
record_identification,_STATE,NUMERIC,1
record_identification,FMONTH,VARCHAR(255),2
record_identification,IDATE,VARCHAR(255),3
record_identification,IMONTH,VARCHAR(255),4
record_identification,IDAY,VARCHAR(255),5
record_identification,IYEAR,NUMERIC,6
record_identification,DISPCODE,VARCHAR(255),7
record_identification,SEQNO,NUMERIC,8
record_identification,_PSU,NUMERIC,9
land_line_introduction,CTELENM1,NUMERIC,10
land_line_introduction,PVTRESD1,NUMERIC,11
land_line_introduction,COLGHOUS,NUMERIC,12
land_line_introduction,STATERE1,NUMERIC,13
land_line_introduction,CELPHON1,NUMERIC,14
land_line_introduction,LADULT1,NUMERIC,15
land_line_introduction,NUMADULT,NUMERIC,16
land_line_introduction,RESPSLC1,NUMERIC,17
land_line_introduction,LANDSEX2,NUMERIC,18
-ignored-,LNDSXBRT,NA,19
cell_phone_introduction,SAFETIME,NUMERIC,20
cell_phone_introduction,CTELNUM1,NUMERIC,21
cell_phone_introduction,CELLFONE5,NUMERIC,22
cell_phone_introduction,CADULT1,NUMERIC,23
cell_phone_introduction,CELLSEX2,NUMERIC,24
-ignored-,CELSXBRT,NA,25
cell_phone_introduction,PVTRESD3,NUMERIC,26
cell_phone_introduction,CCLGHOUS,NUMERIC,27
cell_phone_introduction,CSTATE1,NUMERIC,28
cell_phone_introduction,LANDLINE,NUMERIC,29
cell_phone_introduction,HHADULT,NUMERIC,30
respondent_sex,SEXVAR,NUMERIC,31
health_status,GENHLTH,NUMERIC,32
healthy_days,PHYSHLTH,NUMERIC,33
healthy_days,MENTHLTH,NUMERIC,34
healthy_days,POORHLTH,NUMERIC,35
health_care_access,PRIMINS1,NUMERIC,36
health_care_access,PERSDOC3,NUMERIC,37
health_care_access,MEDCOST1,NUMERIC,38
health_care_access,CHECKUP1,NUMERIC,39
exercise,EXERANY2,NUMERIC,40
exercise,EXRACT12,NUMERIC,41
exercise,EXEROFT1,NUMERIC,42
exercise,EXERHMM1,NUMERIC,43
exercise,EXRACT22,NUMERIC,44
exercise,EXEROFT2,NUMERIC,45
exercise,EXERHMM2,NUMERIC,46
exercise,STRENGTH,NUMERIC,47
hypertension,BPHIGH6,NUMERIC,48
hypertension,BPMEDS1,NUMERIC,49
hypertension,CHOLCHK3,NUMERIC,50
hypertension,TOLDHI3,NUMERIC,51
cholesterol,CHOLMED3,NUMERIC,52
chronic_health_conditions,CVDINFR4,NUMERIC,53
chronic_health_conditions,CVDCRHD4,NUMERIC,54
chronic_health_conditions,CVDSTRK3,NUMERIC,55
chronic_health_conditions,ASTHMA3,NUMERIC,56
chronic_health_conditions,ASTHNOW,NUMERIC,57
chronic_health_conditions,CHCSCNC1,NUMERIC,58
chronic_health_conditions,CHCOCNC1,NUMERIC,59
chronic_health_conditions,CHCCOPD3,NUMERIC,60
chronic_health_conditions,ADDEPEV3,NUMERIC,61
chronic_health_conditions,CHCKDNY2,NUMERIC,62
chronic_health_conditions,HAVARTH4,NUMERIC,63
chronic_health_conditions,DIABETE4,NUMERIC,64
chronic_health_conditions,DIABAGE4,NUMERIC,65
demographics,MARITAL,NUMERIC,66
demographics,EDUCA,NUMERIC,67
demographics,RENTHOM1,NUMERIC,68
demographics,NUMHHOL4,NUMERIC,69
demographics,NUMPHON4,NUMERIC,70
demographics,CPDEMO1C,NUMERIC,71
demographics,VETERAN3,NUMERIC,72
demographics,EMPLOY1,NUMERIC,73
demographics,CHILDREN,NUMERIC,74
demographics,INCOME3,NUMERIC,75
demographics,PREGNANT,NUMERIC,76
demographics,WEIGHT2,NUMERIC,77
demographics,HEIGHT3,NUMERIC,78
disability,DEAF,NUMERIC,79
disability,BLIND,NUMERIC,80
disability,DECIDE,NUMERIC,81
disability,DIFFWALK,NUMERIC,82
disability,DIFFDRES,NUMERIC,83
disability,DIFFALON,NUMERIC,84
falls,FALL12MN,NUMERIC,85
falls,FALLINJ5,NUMERIC,86
tabacco_use,SMOKE100,NUMERIC,87
tabacco_use,SMOKDAY2,NUMERIC,88
tabacco_use,USENOW3,NUMERIC,89
tabacco_use,ECIGNOW2,NUMERIC,90
alcohol_consumption,ALCDAY4,NUMERIC,91
alcohol_consumption,AVEDRNK3,NUMERIC,92
alcohol_consumption,DRNK3GE5,NUMERIC,93
alcohol_consumption,MAXDRNKS,NUMERIC,94
immunization,FLUSHOT7,NUMERIC,95
immunization,FLSHTMY3,NUMERIC,96
immunization,PNEUVAC4,NUMERIC,97
immunization,SHINGLE2,NUMERIC,98
hiv_aids,HIVTST7,NUMERIC,99
hiv_aids,HIVTSTD3,NUMERIC,100
seatbelt_drink_drive,SEATBELT,NUMERIC,101
seatbelt_drink_drive,DRNKDRI2,NUMERIC,102
long_term_covid,COVIDPO1,NUMERIC,103
long_term_covid,COVIDSM1,NUMERIC,104
long_term_covid,COVIDACT,NUMERIC,105
pre_diabetes,PDIABTS1,NUMERIC,106
pre_diabetes,PREDIAB2,NUMERIC,107
diabetes,DIABTYPE,NUMERIC,108
diabetes,INSULIN1,NUMERIC,109
diabetes,CHKHEMO3,NUMERIC,110
diabetes,EYEEXAM1,NUMERIC,111
diabetes,DIABEYE1,NUMERIC,112
diabetes,DIABEDU1,NUMERIC,113
diabetes,FEETSORE,NUMERIC,114
arthritis,ARTHEXER,NUMERIC,115
arthritis,ARTHEDU,NUMERIC,116
arthritis,LMTJOIN3,NUMERIC,117
arthritis,ARTHDIS2,NUMERIC,118
arthritis,JOINPAI2,NUMERIC,119
lung_cancer_screen,LCSFIRST,NUMERIC,120
lung_cancer_screen,LCSLAST,NUMERIC,121
lung_cancer_screen,LCSNUMCG,NUMERIC,122
lung_cancer_screen,LCSCTSC1,NUMERIC,123
lung_cancer_screen,LCSSCNCR,NUMERIC,124
lung_cancer_screen,LCSCTWHN,NUMERIC,125
breast_cervical_cancer_screen,HADMAM,NUMERIC,126
breast_cervical_cancer_screen,HOWLONG,NUMERIC,127
breast_cervical_cancer_screen,CERVSCRN,NUMERIC,128
breast_cervical_cancer_screen,CRVCLCNC,NUMERIC,129
breast_cervical_cancer_screen,CRVCLPAP,NUMERIC,130
breast_cervical_cancer_screen,CRVCLHPV,NUMERIC,131
breast_cervical_cancer_screen,HADHYST2,NUMERIC,132
prostate_cancer_screen,PSATEST1,NUMERIC,133
prostate_cancer_screen,PSATIME1,NUMERIC,134
prostate_cancer_screen,PCPSARS2,NUMERIC,135
prostate_cancer_screen,PSASUGS1,NUMERIC,136
prostate_cancer_screen,PCSTALK2,NUMERIC,137
colorectal_cancer_screen,HADSIGM4,NUMERIC,138
colorectal_cancer_screen,COLNSIGM,NUMERIC,139
colorectal_cancer_screen,COLNTES1,NUMERIC,140
colorectal_cancer_screen,SIGMTES1,NUMERIC,141
colorectal_cancer_screen,LASTSIG4,NUMERIC,142
colorectal_cancer_screen,COLNCNCR,NUMERIC,143
colorectal_cancer_screen,VIRCOLO1,NUMERIC,144
colorectal_cancer_screen,VCLNTES2,NUMERIC,145
colorectal_cancer_screen,SMALSTOL,NUMERIC,146
colorectal_cancer_screen,STOLTEST,NUMERIC,147
colorectal_cancer_screen,STOOLDN2,NUMERIC,148
colorectal_cancer_screen,BLDSTFIT,NUMERIC,149
colorectal_cancer_screen,SDNATES1,NUMERIC,150
cancer_survivor_type,CNCRDIFF,NUMERIC,151
cancer_survivor_type,CNCRAGE,NUMERIC,152
cancer_survivor_type,CNCRTYP2,NUMERIC,153
cancer_survivor_treat,CSRVTRT3,NUMERIC,154
cancer_survivor_treat,CSRVDOC1,NUMERIC,155
cancer_survivor_treat,CSRVSUM,NUMERIC,156
cancer_survivor_treat,CSRVRTRN,NUMERIC,157
cancer_survivor_treat,CSRVINST,NUMERIC,158
cancer_survivor_treat,CSRVINSR,NUMERIC,159
cancer_survivor_treat,CSRVDEIN,NUMERIC,160
cancer_survivor_treat,CSRVCLIN,NUMERIC,161
cancer_survivor_pain,CSRVPAIN,NUMERIC,162
cancer_survivor_pain,CSRVCTL2,NUMERIC,163
indoor_tan,INDORTAN,NUMERIC,164
excess_sun_exposure,NUMBURN3,NUMERIC,165
excess_sun_exposure,SUNPRTCT,NUMERIC,166
excess_sun_exposure,WKDAYOUT,NUMERIC,167
excess_sun_exposure,WKENDOUT,NUMERIC,168
cognitive_decline,CIMEMLO1,NUMERIC,169
cognitive_decline,CDWORRY,NUMERIC,170
cognitive_decline,CDDISCU1,NUMERIC,171
cognitive_decline,CDHOUS1,NUMERIC,172
cognitive_decline,CDSOCIA1,NUMERIC,173
caregiver,CAREGIV1,NUMERIC,174
caregiver,CRGVREL4,NUMERIC,175
caregiver,CRGVLNG1,NUMERIC,176
caregiver,CRGVHRS1,NUMERIC,177
caregiver,CRGVPRB3,NUMERIC,178
caregiver,CRGVALZD,NUMERIC,179
caregiver,CRGVPER1,NUMERIC,180
caregiver,CRGVHOU1,NUMERIC,181
caregiver,CRGVEXPT,NUMERIC,182
tabacco_cessation,LASTSMK2,NUMERIC,183
tabacco_cessation,STOPSMK2,NUMERIC,184
other_tabacco_use,MENTCIGS,NUMERIC,185
other_tabacco_use,MENTECIG,NUMERIC,186
other_tabacco_use,HEATTBCO,NUMERIC,187
firearm_safety,FIREARM5,NUMERIC,188
firearm_safety,GUNLOAD,NUMERIC,189
firearm_safety,LOADULK2,NUMERIC,190
heart_attack_stroke,HASYMP1,NUMERIC,191
heart_attack_stroke,HASYMP2,NUMERIC,192
heart_attack_stroke,HASYMP3,NUMERIC,193
heart_attack_stroke,HASYMP4,NUMERIC,194
heart_attack_stroke,HASYMP5,NUMERIC,195
heart_attack_stroke,HASYMP6,NUMERIC,196
heart_attack_stroke,STRSYMP1,NUMERIC,197
heart_attack_stroke,STRSYMP2,NUMERIC,198
heart_attack_stroke,STRSYMP3,NUMERIC,199
heart_attack_stroke,STRSYMP4,NUMERIC,200
heart_attack_stroke,STRSYMP5,NUMERIC,201
heart_attack_stroke,STRSYMP6,NUMERIC,202
heart_attack_stroke,FIRSTAID,NUMERIC,203
aspirin_cvd,ASPIRIN,NUMERIC,204
-ignored-,BIRTHSEX,NA,205
sexual_orientation,SOMALE,NUMERIC,206
sexual_orientation,SOFEMALE,NUMERIC,207
-ignored-,TRNSGNDR,NA,208
marijuana_use,MARIJAN1,NUMERIC,209
marijuana_use,MARJSMOK,NUMERIC,210
marijuana_use,MARJEAT,NUMERIC,211
marijuana_use,MARJVAPE,NUMERIC,212
marijuana_use,MARJDAB,NUMERIC,213
marijuana_use,MARJOTHR,NUMERIC,214
-ignored-,USEMRJN4,NA,215
ace,ACEDEPRS,NUMERIC,216
ace,ACEDRINK,NUMERIC,217
ace,ACEDRUGS,NUMERIC,218
ace,ACEPRISN,NUMERIC,219
ace,ACEDIVRC,NUMERIC,220
ace,ACEPUNCH,NUMERIC,221
ace,ACEHURT1,NUMERIC,222
ace,ACESWEAR,NUMERIC,223
ace,ACETOUCH,NUMERIC,224
ace,ACETTHEM,NUMERIC,225
ace,ACEHVSEX,NUMERIC,226
ace,ACEADSAF,NUMERIC,227
ace,ACEADNED,NUMERIC,228
flu_vaccination,IMFVPLA4,NUMERIC,229
hpv_vaccination,HPVADVC4,NUMERIC,230
hpv_vaccination,HPVADSHT,NUMERIC,231
tdap_adults,TETANUS1,NUMERIC,232
covid_vaccination,COVIDVA1,NUMERIC,233
covid_vaccination,COVACGE1,NUMERIC,234
covid_vaccination,COVIDNU2,NUMERIC,235
social_determinants,LSATISFY,NUMERIC,236
social_determinants,EMTSUPRT,NUMERIC,237
social_determinants,SDLONELY,NUMERIC,238
social_determinants,SDHEMPLY,NUMERIC,239
social_determinants,FOODSTMP,NUMERIC,240
social_determinants,SDHFOOD1,NUMERIC,241
social_determinants,SDHBILLS,NUMERIC,242
social_determinants,SDHUTILS,NUMERIC,243
social_determinants,SDHTRNSP,NUMERIC,244
social_determinants,SDHSTRE1,NUMERIC,245
race_reactions,RRCLASS3,NUMERIC,246
race_reactions,RRCOGNT2,NUMERIC,247
race_reactions,RRTREAT,NUMERIC,248
race_reactions,RRATWRK2,NUMERIC,249
race_reactions,RRHCARE4,NUMERIC,250
race_reactions,RRPHYSM2,NUMERIC,251
-ignored-,RCSGEND1,NA,252
-ignored-,RCSXBRTH,NA,253
random_child_select,RCSRLTN2,NUMERIC,254
childhood_asthma,CASTHDX2,NUMERIC,255
childhood_asthma,CASTHNO2,NUMERIC,256
questionnaire_ver,QSTVER,NUMERIC,257
questionnaire_lang,QSTLANG,NUMERIC,258
urban_rural,_METSTAT,NUMERIC,259
urban_rural,_URBSTAT,NUMERIC,260
weighting_variables_1,MSCODE,NUMERIC,261
weighting_variables_1,_STSTR,NUMERIC,262
weighting_variables_1,_STRWT,NUMERIC,263
weighting_variables_1,_RAWRAKE,NUMERIC,264
weighting_variables_1,_WT2RAKE,NUMERIC,265
weighting_variables_1,_IMPRACE,NUMERIC,266
child_demographics,_CHISPNC,NUMERIC,267
child_demographics,_CRACE1,NUMERIC,268
child_weighting_variables,CAGEG,NUMERIC,269
child_weighting_variables,_CLLCPWT,NUMERIC,270
weighting_variables_2,_DUALUSE,NUMERIC,271
weighting_variables_2,_DUALCOR,NUMERIC,272
weighting_variables_2,_LLCPWT2,NUMERIC,273
weighting_variables_2,_LLCPWT,NUMERIC,274
calculated_variables_1,_RFHLTH,NUMERIC,275
calculated_variables_1,_PHYS14D,NUMERIC,276
calculated_variables_1,_MENT14D,NUMERIC,277
calculated_variables_1,_HLTHPL1,NUMERIC,278
calculated_variables_1,_HCVU653,NUMERIC,279
calculated_variables_1,_TOTINDA,NUMERIC,280
calculated_variables_1,METVL12_,NUMERIC,281
calculated_variables_1,METVL22_,NUMERIC,282
calculated_variables_1,MAXVO21_,NUMERIC,283
calculated_variables_1,FC601_,NUMERIC,284
calculated_variables_1,ACTIN13_,NUMERIC,285
calculated_variables_1,ACTIN23_,NUMERIC,286
calculated_variables_1,PADUR1_,NUMERIC,287
calculated_variables_1,PADUR2_,NUMERIC,288
calculated_variables_1,PAFREQ1_,NUMERIC,289
calculated_variables_1,PAFREQ2_,NUMERIC,290
calculated_variables_1,_MINAC12,NUMERIC,291
calculated_variables_1,_MINAC22,NUMERIC,292
calculated_variables_1,STRFREQ_,NUMERIC,293
calculated_variables_1,PAMISS3_,NUMERIC,294
calculated_variables_1,PAMIN13_,NUMERIC,295
calculated_variables_1,PAMIN23_,NUMERIC,296
calculated_variables_1,PA3MIN_,NUMERIC,297
calculated_variables_1,PAVIG13_,NUMERIC,298
calculated_variables_1,PAVIG23_,NUMERIC,299
calculated_variables_1,PA3VIGM_,NUMERIC,300
calculated_variables_1,_PACAT3,NUMERIC,301
calculated_variables_1,_PAINDX3,NUMERIC,302
calculated_variables_1,_PA150R4,NUMERIC,303
calculated_variables_1,_PA300R4,NUMERIC,304
calculated_variables_1,_PA30023,NUMERIC,305
